sample_name	amplicon_number	amplicon_decomposition_class	ecDNA+	BFB+	ecDNA_amplicons
PT_BQAR0KHK-BS_KWHEFBG0	amplicon7	Linear	None detected	None detected	0
PT_BRVGRXQY-BS_3PATZ29V	amplicon1	Cyclic	Positive	None detected	1
PT_BRVGRXQY-BS_WMXKD55A	amplicon1	Cyclic	Positive	None detected	1
PT_C2D4JXS1-BS_V27ABVGT	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_C52RFPB9-BS_02VZJ0QK	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_CGAQ7KKY-BS_YRGD4MKR	amplicon1	Cyclic	Positive	None detected	1
PT_D4VFV3CW-BS_02NHQ9F8	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_D4VFV3CW-BS_02NHQ9F8	amplicon2	Linear	None detected	None detected	0
PT_D4VFV3CW-BS_02NHQ9F8	amplicon3	Linear	None detected	None detected	0
PT_D5PE7B2H-BS_TYE6Q66H	amplicon1	Cyclic	Positive	None detected	1
PT_D9A6G154-BS_EQK3VTV0	amplicon1	Cyclic	Positive	None detected	1
PT_DAKPNP7K-BS_1DA3F1K1	amplicon1	Cyclic	Positive	None detected	1
PT_DF8P04Y1-BS_15BAPZBP	amplicon1	Linear	None detected	None detected	0
PT_DY2D16CZ-BS_YYJDGT6Y	amplicon1	Cyclic	Positive	None detected	1
PT_E3WNEDD4-BS_3JR05TXQ	amplicon1	Linear	None detected	None detected	0
PT_E3WNEDD4-BS_J7EY237P	amplicon1	Cyclic	Positive	None detected	1
PT_E3WNEDD4-BS_TZWCWMJJ	amplicon1	Linear	None detected	None detected	0
PT_E50ZPGSJ-BS_1WC7MCRT	amplicon1	Cyclic	Positive	None detected	1
PT_E50ZPGSJ-BS_1WC7MCRT	amplicon2	Cyclic	Positive	None detected	1
PT_E9PS2A96-BS_54HHEWEZ	amplicon1	Cyclic	Positive	None detected	1
PT_E9PS2A96-BS_54HHEWEZ	amplicon2	Cyclic	Positive	None detected	1
PT_F0CH8F8M-BS_AED5JAXC	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_FHGDAACP-BS_97M1BPNE	amplicon1	Cyclic	Positive	None detected	1
PT_FQ1Q16FV-BS_9GAN1VK0	amplicon1	Cyclic	Positive	None detected	1
PT_FWWRWTV2-BS_1061K466	amplicon1	Cyclic	None detected	Positive	0
PT_FWWRWTV2-BS_9BJ4Z98D	amplicon1	Linear	None detected	None detected	0
PT_FWWRWTV2-BS_9BJ4Z98D	amplicon2	Cyclic	Positive	None detected	1
PT_FWWRWTV2-BS_HTQ9CT6Q	amplicon1	Cyclic	None detected	Positive	0
PT_FWWRWTV2-BS_HTQ9CT6Q	amplicon2	Linear	None detected	None detected	0
PT_FWWRWTV2-BS_JHWHDEBK	amplicon1	Complex-non-cyclic	None detected	Positive	0
PT_FWWRWTV2-BS_NQDVWQY7	amplicon1	Complex-non-cyclic	None detected	Positive	0
PT_FWWRWTV2-BS_R88BSH78	amplicon1	Cyclic	None detected	Positive	0
PT_G395P98S-BS_6VVG1EBR	amplicon1	Cyclic	Positive	None detected	1
PT_G3MPFYCD-BS_WFJAG7PD	amplicon1	Cyclic	Positive	None detected	1
PT_G4HD4QTK-BS_QSEKE2HK	amplicon1	Linear	None detected	None detected	0
PT_G8ZTC724-BS_YACC792T	amplicon1	Linear	None detected	None detected	0
PT_GBCZ0RW3-BS_S6XJN6XC	amplicon1	Cyclic	Positive	None detected	1
PT_GDZXK2AG-BS_4Y10FCTC	amplicon1	Linear	None detected	None detected	0
PT_GDZXK2AG-BS_4Y10FCTC	amplicon2	Linear	None detected	None detected	0
PT_GHFG41Q2-BS_DQ53BKED	amplicon1	Cyclic	Positive	None detected	1
PT_GR02DP0Q-BS_E4C16ZWG	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_H0PXZWJ6-BS_E1GFZBG3	amplicon1	Complex-non-cyclic	None detected	None detected	0
PT_H0Y8DJA8-BS_PS00F8DA	amplicon1	Cyclic	Positive	None detected	1
PT_H9QTP1JF-BS_TFYBVE0A	amplicon1	Cyclic	Positive	None detected	1
PT_H9QTP1JF-BS_XH4QH13B	amplicon1	Cyclic	Positive	None detected	1
PT_HERXR7FX-BS_E1FCN4JK	amplicon1	Cyclic	Positive	None detected	1
PT_HERXR7FX-BS_E1FCN4JK	amplicon2	Cyclic	Positive	None detected	1
PT_HEVH2ZQ1-BS_AM8HDWQZ	amplicon1	Cyclic	Positive	None detected	1
PT_HEVH2ZQ1-BS_KFZKF2P8	amplicon1	Cyclic	Positive	None detected	1
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon10	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon1	Cyclic	Positive	None detected	2
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon2	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon3	Cyclic	Positive	None detected	1
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon4	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon5	Complex-non-cyclic	None detected	None detected	0
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon6	Complex-non-cyclic	None detected	None detected	0
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon7	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon8	Cyclic	Positive	None detected	1
PT_HGG8X8QE-BS_2C9ZX1NK	amplicon9	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon10	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon11	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon12	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon13	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon14	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon15	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon16	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon17	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon18	Cyclic	Positive	None detected	1
PT_HGG8X8QE-BS_B1163H1W	amplicon19	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon1	Linear	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon20	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon21	No amp/Invalid	None detected	None detected	0
PT_HGG8X8QE-BS_B1163H1W	amplicon22	No amp/Invalid	None detected	None detected	0
